"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C3,C1";"C_Radial_D16.0mm_H31.5mm_P7.50mm";2;"1uF";;;
2;"R2,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal";2;"15k";;;
3;"R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal";1;"42k";;;
4;"C2";"C_Radial_D16.0mm_H31.5mm_P7.50mm";1;"2uF";;;
5;"V3,V2";"BatteryHolder_Bulgin_BX0036_1xC";2;"15V";;;
6;"R8,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal";2;"165";;;
7;"U1,U5,U4,U2,U3";"DIP-8_W7.62mm";5;"LM741";;;
8;"R11,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal";2;"60k";;;
9;"C4,C5";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"22nF";;;
10;"R6,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal";2;"33k";;;
11;"V1";"PinHeader_1x02_P2.54mm_Vertical";1;"1mV";;;
12;"R1,R4,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal";3;"1k";;;
